INFO:root:Number of Shelx jobs:52
INFO:root:Number of Shelx jobs:52
INFO:root:Processing anomalous data for 1O4S
INFO:root:Processing anomalous data for 4UUC
INFO:root:Processing anomalous data for 3LXJ
INFO:root:Processing anomalous data for 2WWU
INFO:root:Processing anomalous data for 3IR3
INFO:root:Processing anomalous data for 3KVO
INFO:root:Processing anomalous data for 4IB2
INFO:root:Processing anomalous data for 4QU6
INFO:root:Processing anomalous data for 4AZF
INFO:root:Processing anomalous data for 2XYN
INFO:root:Processing anomalous data for 3MDY
INFO:root:Processing anomalous data for 2XIK
INFO:root:Processing anomalous data for 4DYM
INFO:root:Processing anomalous data for 3U23
INFO:root:Processing anomalous data for 4A64
INFO:root:Processing anomalous data for 4CGZ
INFO:root:Processing anomalous data for 4COO
INFO:root:Processing anomalous data for 4WSQ
INFO:root:Processing anomalous data for 5DKC
INFO:root:Processing anomalous data for 4YLJ
INFO:root:Processing anomalous data for 1J6O
INFO:root:Processing anomalous data for 1VKD
INFO:root:Processing anomalous data for 1VLC
INFO:root:Processing anomalous data for 3E4V
INFO:root:Processing anomalous data for 3L22
INFO:root:Processing anomalous data for 3LJY
INFO:root:Processing anomalous data for 3LUL
INFO:root:Processing anomalous data for 3LYC
INFO:root:Processing anomalous data for 3MCP
INFO:root:Processing anomalous data for 3MSQ
INFO:root:Processing anomalous data for 3MZO
INFO:root:Processing anomalous data for 3NFV
INFO:root:Processing anomalous data for 3NPI
INFO:root:Processing anomalous data for 3NRG
INFO:root:Processing anomalous data for 3OF4
INFO:root:Processing anomalous data for 3P2C
INFO:root:Processing anomalous data for 3PGV
INFO:root:Processing anomalous data for 3PPL
INFO:root:Processing anomalous data for 3QNK
INFO:root:Processing anomalous data for 3R4I
INFO:root:Processing anomalous data for 3QNF
INFO:root:Processing anomalous data for 2XN4
INFO:root:Processing anomalous data for 2X47
INFO:root:Processing anomalous data for 3ISQ
INFO:root:Processing anomalous data for 3LWK
INFO:root:Processing anomalous data for 4QU7
INFO:root:Processing anomalous data for 4D0O
INFO:root:Processing anomalous data for 3O4R
INFO:root:Processing anomalous data for 2YL2
INFO:root:Processing anomalous data for 4TXC
INFO:root:Processing anomalous data for 2YAN
INFO:root:Processing anomalous data for 3NL9
INFO:root:Number of Shelx jobs:52
INFO:root:Processing anomalous data for 1O4S
INFO:root:Processing anomalous data for 4UUC
INFO:root:Processing anomalous data for 3LXJ
INFO:root:Processing anomalous data for 2WWU
INFO:root:Processing anomalous data for 3IR3
INFO:root:Processing anomalous data for 3KVO
INFO:root:Processing anomalous data for 4IB2
INFO:root:Processing anomalous data for 4QU6
INFO:root:Processing anomalous data for 4AZF
INFO:root:Processing anomalous data for 2XYN
INFO:root:Processing anomalous data for 3MDY
INFO:root:Processing anomalous data for 2XIK
INFO:root:Processing anomalous data for 4DYM
INFO:root:Processing anomalous data for 3U23
INFO:root:Processing anomalous data for 4A64
INFO:root:Processing anomalous data for 4CGZ
INFO:root:Processing anomalous data for 4COO
INFO:root:Processing anomalous data for 4WSQ
INFO:root:Processing anomalous data for 5DKC
INFO:root:Processing anomalous data for 4YLJ
INFO:root:Processing anomalous data for 1J6O
INFO:root:Processing anomalous data for 1VKD
INFO:root:Processing anomalous data for 1VLC
INFO:root:Processing anomalous data for 3E4V
INFO:root:Processing anomalous data for 3L22
INFO:root:Processing anomalous data for 3LJY
INFO:root:Processing anomalous data for 3LUL
INFO:root:Processing anomalous data for 3LYC
INFO:root:Processing anomalous data for 3MCP
INFO:root:Processing anomalous data for 3MSQ
INFO:root:Processing anomalous data for 3MZO
INFO:root:Processing anomalous data for 3NFV
INFO:root:Processing anomalous data for 3NPI
INFO:root:Processing anomalous data for 3NRG
INFO:root:Processing anomalous data for 3OF4
INFO:root:Processing anomalous data for 3P2C
INFO:root:Processing anomalous data for 3PGV
INFO:root:Processing anomalous data for 3PPL
INFO:root:Processing anomalous data for 3QNK
INFO:root:Processing anomalous data for 3R4I
INFO:root:Processing anomalous data for 3QNF
INFO:root:Processing anomalous data for 2XN4
INFO:root:Processing anomalous data for 2X47
INFO:root:Processing anomalous data for 3ISQ
INFO:root:Processing anomalous data for 3LWK
INFO:root:Processing anomalous data for 4QU7
INFO:root:Processing anomalous data for 4D0O
INFO:root:Processing anomalous data for 3O4R
INFO:root:Processing anomalous data for 2YL2
INFO:root:Processing anomalous data for 4TXC
INFO:root:Processing anomalous data for 2YAN
INFO:root:Processing anomalous data for 3NL9
INFO:root:Number of Shelx jobs:52
INFO:root:Processing anomalous data for 1O4S
INFO:root:Processing anomalous data for 4UUC
INFO:root:Processing anomalous data for 3LXJ
INFO:root:Processing anomalous data for 2WWU
INFO:root:Processing anomalous data for 3IR3
INFO:root:Processing anomalous data for 3KVO
INFO:root:Processing anomalous data for 4IB2
INFO:root:Processing anomalous data for 4QU6
INFO:root:Processing anomalous data for 4AZF
INFO:root:Processing anomalous data for 2XYN
INFO:root:Processing anomalous data for 3MDY
INFO:root:Processing anomalous data for 2XIK
INFO:root:Processing anomalous data for 4DYM
INFO:root:Processing anomalous data for 3U23
